Platform Information: 

  CPU: Intel Pentium Gold G5500T (3.2G)
       HyperThread and HardwarePrefetch Disabled
  Mainboard: ASRock H370M-ITX/ac
  Memory: 2 * Corsair DDR4-2400 8G (1 rank, 16 banks)
  OS: Windows 7 x64 (7601)


Results of X86 version:

Real Time Clock Latency: 31
Cache miss: 229 (260 - 31)  Cache hit: 2 (33 - 31)
Instruction mul: 2 (33 - 31)
Instruction div: 20 (51 - 31)
Instruction float mul: 18 (49 - 31)
Instruction float div: 26 (57 - 31)
2 layer empty loops (8388608 * 1): 69519519 (69519550 - 31)
2 layer empty loops (4194304 * 2): 52962044 (52962075 - 31)
2 layer empty loops (2097152 * 4): 31470456 (31470487 - 31)
2 layer empty loops (1048576 * 8): 28094158 (28094189 - 31)
2 layer empty loops (524288 * 16): 33756467 (33756498 - 31)
2 layer empty loops (262144 * 32): 49987769 (49987800 - 31)
2 layer empty loops (131072 * 64): 42717397 (42717428 - 31)
2 layer empty loops (1M * 8): 28094677 (28094708 - 31)
2 layer empty loops (8 * 1M): 46667721 (46667752 - 31)
2 layer maccess loops (1M * 8): 207560819 (207560850 - 31)
2 layer maccess loops (8 * 1M): 251271881 (251271912 - 31)
3 layer empty loops (1M * 64 * 8): 492522159 (492522190 - 31)
3 layer empty loops (8 * 64 * 1M): 746476062 (746476093 - 31)
3 layer maccess loops (1M * 64 * 8): 1266664285 (1266664316 - 31)
3 layer maccess loops (8 * 64 * 1M): 4021486544 (4021486575 - 31)
round, BYTE, SHORT, LONG, LONGLONG
33,      42.367, 22370, 528
34,      41.669, 22668, 544
35,      41.052, 22989, 560
36,      40.460, 23305, 576
37,      39.910, 23627, 592
38,      39.322, 23908, 608
39,      38.931, 24293, 624
40,      38.288, 24504, 640
41,      39.402, 25848, 656
42,      40.449, 27182, 672
43,      41.186, 28336, 688
44,      42.003, 29570, 704
45,      42.533, 30624, 720
46,      43.215, 31806, 736
47,      43.215, 32498, 752
48,      43.091, 33094, 768
49,      43.131, 33815, 784
50,      43.215, 34572, 800
51,      43.158, 35217, 816
52,      43.123, 35878, 832
53,      43.119, 36565, 848
54,      43.104, 37242, 864
55,      43.174, 37993, 880
56,      43.185, 38694, 896
57,      43.083, 39292, 912
58,      43.169, 40061, 928
59,      43.172, 40754, 944
60,      43.200, 41472, 960
61,      43.207, 42170, 976
62,      43.237, 42891, 992
63,      43.230, 43576, 1008
64,      43.127, 44162, 1024

Measure L1 cache associative ways for window: 65536
step, latency, clocks, rounds
1,       3.125, 50, 16
2,       3.969, 127, 32
3,       3.583, 172, 48
4,       3.453, 221, 64
5,       11.813, 945, 80
6,       12.052, 1157, 96
7,       12.134, 1359, 112
8,       13.969, 1788, 128
9,       42.806, 6164, 144
10,      42.781, 6845, 160
11,      42.858, 7543, 176
12,      42.599, 8179, 192
13,      42.832, 8909, 208
14,      43.116, 9658, 224
15,      42.904, 10297, 240
16,      42.875, 10976, 256
17,      41.544, 11300, 272
18,      40.292, 11604, 288
19,      39.095, 11885, 304
20,      38.241, 12237, 320
21,      40.116, 13479, 336
22,      42.037, 14797, 352
23,      42.997, 15823, 368
24,      43.049, 16531, 384
25,      43.047, 17219, 400
26,      43.034, 17902, 416
27,      43.067, 18605, 432
28,      43.029, 19277, 448
29,      43.058, 19979, 464
30,      43.138, 20706, 480
31,      43.052, 21354, 496
32,      43.010, 22021, 512
33,      42.322, 22346, 528
34,      41.664, 22665, 544
35,      41.009, 22965, 560
36,      40.436, 23291, 576
37,      41.600, 24627, 592
38,      42.816, 26032, 608
39,      43.005, 26835, 624
40,      43.038, 27544, 640
41,      43.024, 28224, 656
42,      43.076, 28947, 672
43,      43.078, 29638, 688
44,      43.054, 30310, 704
45,      43.107, 31037, 720
46,      43.094, 31717, 736
47,      43.059, 32380, 752
48,      43.074, 33081, 768
49,      42.615, 33410, 784
50,      42.094, 33675, 800
51,      41.670, 34003, 816
52,      41.255, 34324, 832
53,      41.945, 35569, 848
54,      42.758, 36943, 864
55,      43.009, 37848, 880
56,      43.065, 38586, 896
57,      43.116, 39322, 912
58,      43.225, 40113, 928
59,      43.125, 40710, 944
60,      43.152, 41426, 960
61,      43.156, 42120, 976
62,      43.142, 42797, 992
63,      43.175, 43520, 1008
64,      43.143, 44178, 1024

Measure L1 cache associative ways for window: 131072
step, latency, clocks, rounds
1,       3.313, 53, 16
2,       3.688, 118, 32
3,       3.479, 167, 48
4,       3.625, 232, 64
5,       11.912, 953, 80
6,       12.115, 1163, 96
7,       12.080, 1353, 112
8,       14.023, 1795, 128
9,       40.181, 5786, 144
10,      38.206, 6113, 160
11,      36.426, 6411, 176
12,      34.990, 6718, 192
13,      38.688, 8047, 208
14,      41.513, 9299, 224
15,      42.913, 10299, 240
16,      43.129, 11041, 256
17,      41.651, 11329, 272
18,      40.483, 11659, 288
19,      39.490, 12005, 304
20,      38.350, 12272, 320
21,      39.774, 13364, 336
22,      42.398, 14924, 352
23,      44.769, 16475, 368
24,      44.935, 17255, 384
25,      43.955, 17582, 400
26,      42.947, 17866, 416
27,      42.081, 18179, 432
28,      41.205, 18460, 448
29,      42.683, 19805, 464
30,      44.300, 21264, 480
31,      44.829, 22235, 496
32,      44.795, 22935, 512
33,      44.038, 23252, 528
